year,Japan,USA
1958,19767000,174881904
1963,95900000,189241798
1968,101011000,200706052
1973,108707000,211908788
1978,114913000,222584545
1983,119307000,233792014
1988,122578000,244499004
1993,124829000,260255352
1998,126400000,276115288
2003,127718000,290107933
2008,128063000,304093966
2013,127445000,316057727
2018,126529100,327167434
